NAMESPACE                NAME                                       READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                                            IMAGES                                                                                                               SELECTOR
kong                     kong-kong                                  1/1     1            1           14h     ingress-controller,proxy                              kong/kubernetes-ingress-controller:3.5,kong:3.9                                                                      app.kubernetes.io/component=app,app.kubernetes.io/instance=kong,app.kubernetes.io/name=kong
kube-system              coredns                                    2/2     2            2           29d     coredns                                               registry.k8s.io/coredns/coredns:v1.12.1                                                                              k8s-app=kube-dns
kube-system              metrics-server                             1/1     1            1           15h     metrics-server                                        registry.k8s.io/metrics-server/metrics-server:v0.8.1                                                                 app.kubernetes.io/instance=metrics-server,app.kubernetes.io/name=metrics-server
local-path-storage       local-path-provisioner                     1/1     1            1           29d     local-path-provisioner                                docker.io/kindest/local-path-provisioner:v20251212-v0.29.0-alpha-105-g20ccfc88                                       app=local-path-provisioner
monitoring               kube-prometheus-stack-grafana              1/1     1            1           15h     grafana-sc-dashboard,grafana-sc-datasources,grafana   quay.io/kiwigrid/k8s-sidecar:2.7.3,quay.io/kiwigrid/k8s-sidecar:2.7.3,docker.io/grafana/grafana:13.0.1-security-01   app.kubernetes.io/instance=kube-prometheus-stack,app.kubernetes.io/name=grafana
monitoring               kube-prometheus-stack-kube-state-metrics   1/1     1            1           15h     kube-state-metrics                                    registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.19.0                                                        app.kubernetes.io/instance=kube-prometheus-stack,app.kubernetes.io/name=kube-state-metrics
monitoring               kube-prometheus-stack-operator             1/1     1            1           15h     kube-prometheus-stack                                 quay.io/prometheus-operator/prometheus-operator:v0.91.0                                                              app=kube-prometheus-stack-operator,release=kube-prometheus-stack
ticketing-auth           auth-service                               2/2     2            2           14h     auth-service                                          localhost:5001/auth-service:dev                                                                                      app=auth-service
ticketing-concert        concert-service                            2/2     2            2           14h     concert-service                                       localhost:5001/concert-service:dev                                                                                   app=concert-service
ticketing-notification   notification-service                       2/2     2            2           14h     notification-service                                  localhost:5001/notification-service:dev                                                                              app=notification-service
ticketing-notification   notification-service-background            0/1     1            0           6m36s   background                                            localhost:5001/notification-service:dev                                                                              app=notification-service-background,medikong.io/workload=background
ticketing-payment        payment-service                            2/2     2            2           14h     payment-service                                       localhost:5001/payment-service:dev                                                                                   app=payment-service
ticketing-payment        payment-service-background                 1/1     1            1           6m36s   background                                            localhost:5001/payment-service:dev                                                                                   app=payment-service-background,medikong.io/workload=background
ticketing-payment        pgadmin                                    1/1     1            1           14h     pgadmin                                               dpage/pgadmin4:8.14                                                                                                  app.kubernetes.io/name=pgadmin
ticketing-reservation    reservation-service                        2/2     2            2           14h     reservation-service                                   localhost:5001/reservation-service:dev                                                                               app=reservation-service
ticketing-reservation    reservation-service-background             1/1     1            1           6m36s   background                                            localhost:5001/reservation-service:dev                                                                               app=reservation-service-background,medikong.io/workload=background
ticketing-ticket         ticket-service                             2/2     2            2           14h     ticket-service                                        localhost:5001/ticket-service:dev                                                                                    app=ticket-service
ticketing-ticket         ticket-service-background                  1/1     1            1           6m36s   background                                            localhost:5001/ticket-service:dev                                                                                    app=ticket-service-background,medikong.io/workload=background
