NAMESPACE                NAME                                                        CPU(cores)   MEMORY(bytes)   
kong                     kong-kong-6d79997676-d2d2k                                  106m         483Mi           
kube-system              coredns-66bc5c9577-nrgqt                                    2m           41Mi            
kube-system              coredns-66bc5c9577-p2lxd                                    2m           37Mi            
kube-system              etcd-desktop-control-plane                                  14m          150Mi           
kube-system              kindnet-5r55h                                               1m           33Mi            
kube-system              kindnet-6k5kl                                               1m           31Mi            
kube-system              kindnet-jb5rk                                               1m           27Mi            
kube-system              kindnet-khhph                                               2m           25Mi            
kube-system              kube-apiserver-desktop-control-plane                        58m          801Mi           
kube-system              kube-controller-manager-desktop-control-plane               16m          130Mi           
kube-system              kube-proxy-5n67c                                            1m           32Mi            
kube-system              kube-proxy-7ltvh                                            1m           32Mi            
kube-system              kube-proxy-jlkjg                                            1m           33Mi            
kube-system              kube-proxy-lmvzt                                            1m           32Mi            
kube-system              kube-scheduler-desktop-control-plane                        4m           44Mi            
kube-system              metrics-server-675c6f985d-fg9hq                             21m          43Mi            
loadtest                 read-api-loadtest-read-manual-20260621062618-full-9bvvm     299m         648Mi           
local-path-storage       local-path-provisioner-5c4cdb564f-zhhgq                     1m           24Mi            
monitoring               alertmanager-kube-prometheus-stack-alertmanager-0           1m           59Mi            
monitoring               kube-prometheus-stack-grafana-7ffd946446-ssxfv              11m          490Mi           
monitoring               kube-prometheus-stack-kube-state-metrics-6d579c7848-2wtgz   2m           48Mi            
monitoring               kube-prometheus-stack-operator-7d4c745b5f-dddvq             3m           50Mi            
monitoring               kube-prometheus-stack-prometheus-node-exporter-47nf8        2m           23Mi            
monitoring               kube-prometheus-stack-prometheus-node-exporter-5vfgt        1m           23Mi            
monitoring               kube-prometheus-stack-prometheus-node-exporter-kk59z        2m           19Mi            
monitoring               kube-prometheus-stack-prometheus-node-exporter-xxmcf        2m           21Mi            
monitoring               prometheus-kube-prometheus-stack-prometheus-0               13m          542Mi           
observability            loki-0                                                      13m          430Mi           
observability            opentelemetry-collector-agent-hk5d8                         11m          144Mi           
observability            opentelemetry-collector-agent-mmpsc                         13m          140Mi           
observability            opentelemetry-collector-agent-zx7gm                         25m          195Mi           
observability            pyroscope-0                                                 2m           58Mi            
observability            tempo-0                                                     18m          549Mi           
ticketing-auth           auth-db-0                                                   6m           156Mi           
ticketing-auth           auth-service-d94965ddb-hzbt9                                7m           214Mi           
ticketing-concert        concert-db-0                                                137m         199Mi           
ticketing-concert        concert-service-5566b7768f-p7jz5                            825m         246Mi           
ticketing-messaging      kafka-0                                                     6m           468Mi           
ticketing-notification   notification-db-0                                           4m           474Mi           
ticketing-notification   notification-service-7f664c897d-p99p2                       7m           188Mi           
ticketing-payment        payment-db-0                                                5m           182Mi           
ticketing-payment        payment-service-6fbbc4cbbd-n4lh6                            6m           201Mi           
ticketing-payment        pgadmin-74bfdb7477-xk7qp                                    2m           183Mi           
ticketing-reservation    reservation-db-0                                            5m           165Mi           
ticketing-reservation    reservation-service-77b6f5799c-998z9                        6m           206Mi           
ticketing-reservation    reservation-service-background-64b57b6789-x9mhf             1m           64Mi            
ticketing-ticket         ticket-db-0                                                 6m           157Mi           
ticketing-ticket         ticket-service-6dd586d94b-kvfqw                             7m           218Mi           
